id;street_address;postal_code;city;state_province
1;gee worriedly;cling if phooey;Moniquetown;evict uh-huh eek
2;after;botch while;Lake Marcelino;mammoth electric speakerphone
3;quintuple well-off;fearful what trusting;Waco;yet for
4;sabre hourly yahoo;ick midst as;Albinport;crown
5;or barracks thunderhead;quizzically streak sprinkle;Hoegerview;like within
6;unnecessarily miserly;yahoo;Dublin;pseudoscience when amongst
7;parley;trifling sometimes cleverly;New Earline;warmly hock false
8;aw;solidly gee gadzooks;Jordyncester;nor phew
9;successfully supportive;woot;Tyreekside;proof
10;huzzah;inasmuch circa hence;New Kelli;incidentally provided as
