id;title;content;date
1;wastebasket yearly watercress;../fake-data/blob/hipster.txt;2023-09-17T13:28:01
2;fahrenheit toward;../fake-data/blob/hipster.txt;2023-09-17T13:56:59
3;that up indeed;../fake-data/blob/hipster.txt;2023-09-17T14:26:28
4;snowmobiling;../fake-data/blob/hipster.txt;2023-09-17T04:03:40
5;waterlogged considerate stick;../fake-data/blob/hipster.txt;2023-09-17T18:57:05
6;flashy;../fake-data/blob/hipster.txt;2023-09-17T21:58:17
7;till;../fake-data/blob/hipster.txt;2023-09-17T16:41:22
8;regarding;../fake-data/blob/hipster.txt;2023-09-17T14:10:51
9;apud youthfully;../fake-data/blob/hipster.txt;2023-09-17T06:08:47
10;several;../fake-data/blob/hipster.txt;2023-09-17T15:07:47
